Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
United Kingdom,Afghanistan,2020,EXPIMP,Food Products,1576.53,16.8,5.21,0.45,,,,0.0,0.0,114.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.79,16.54,17.8,114.0,52.63,0.0,47.37,0.0,33.6,10.5,14.03,16.79,0.0
United Kingdom,Angola,2020,EXPIMP,Food Products,6600.85,21.67,1.97,1.09,0.28,-18.99,0.15,0.0,0.0,164.0,0.0,37.2,62.8,0.0,0.0,0.0,21.65,21.65,0.0,,,164.0,0.0,0.0,100.0,0.0,,,21.65,21.65,0.0
United Kingdom,Albania,2020,EXPIMP,Food Products,2037.35,1944.83,13.21,15.2,1.3,-3.5,-5.67,0.0,0.0,366.0,0.0,53.01,46.99,0.0,0.0,0.0,1447.84,1447.84,495.15,13.53,10.77,366.0,24.04,0.55,75.41,0.0,33.6,0.0,1834.88,1932.89,10.1
United Kingdom,Andorra,2020,EXPIMP,Food Products,3708.31,1.73,37.7,0.27,2.62,-9.46,-22.89,0.0,0.0,164.0,0.0,29.88,70.12,0.0,0.0,0.0,1.73,1.73,0.0,,,164.0,0.0,0.0,100.0,0.0,,,1.73,1.73,0.0
United Kingdom,United Arab Emirates,2020,EXPIMP,Food Products,274751.83,4982.01,4.52,0.31,2.49,-3.14,-7.52,14.94,12.76,625.0,32.8,8.64,58.56,0.0,74.9,0.0,3057.44,4608.6,249.6,14.94,12.76,625.0,32.8,8.64,58.56,0.0,74.9,0.0,3057.44,4608.6,249.6
United Kingdom,Argentina,2020,EXPIMP,Food Products,24903.31,670078.05,6.93,72.52,3.44,1.73,7.71,6.96,0.27,367.0,14.71,5.45,79.84,0.0,33.6,0.0,225609.63,233410.29,436028.3,6.96,0.27,367.0,14.71,5.45,79.84,0.0,33.6,0.0,225609.63,233410.29,436028.3
United Kingdom,Armenia,2020,EXPIMP,Food Products,821.49,90.98,6.42,2.68,0.51,-4.64,-14.59,0.0,0.0,352.0,0.0,28.13,71.88,0.0,0.0,0.0,62.66,62.66,28.23,10.5,9.21,352.0,23.58,4.55,71.88,0.0,24.0,0.0,62.66,72.89,18.0
United Kingdom,American Samoa,2020,EXPIMP,Food Products,0.0,1.59,,1.77,,,,,,164.0,0.0,0.0,100.0,0.0,,,1.59,1.59,0.0,,,164.0,0.0,0.0,100.0,0.0,,,1.59,1.59,0.0
United Kingdom,Australia,2020,EXPIMP,Food Products,498510.89,392078.63,9.63,3.87,1.99,-0.25,-6.65,10.85,11.06,848.0,27.59,7.43,64.98,0.0,33.6,0.0,377423.08,384352.98,3809.17,10.85,11.06,848.0,27.59,7.43,64.98,0.0,33.6,0.0,377423.08,384352.98,3809.17
United Kingdom,Austria,2020,EXPIMP,Food Products,75165.74,316289.51,2.7,6.91,0.91,1.92,-5.51,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Belgium,2020,EXPIMP,Food Products,351942.08,2341667.75,2.58,8.13,0.64,1.56,-10.42,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bonaire,2020,EXPIMP,Food Products,3982.18,790.61,44.9,68.39,,,,8.51,13.26,24.0,45.83,12.5,41.67,0.0,19.2,0.0,785.52,785.52,4.34,8.51,13.26,24.0,45.83,12.5,41.67,0.0,19.2,0.0,785.52,785.52,4.34
United Kingdom,Bangladesh,2020,EXPIMP,Food Products,5320.79,16910.73,1.76,0.55,,,,0.04,0.0,544.0,0.18,99.82,0.0,0.0,12.8,0.0,0.0,41.91,16502.89,15.13,17.02,544.0,65.99,1.1,32.9,0.0,33.6,0.0,14471.76,16544.8,0.0
United Kingdom,Bulgaria,2020,EXPIMP,Food Products,68823.14,52710.59,15.05,8.67,1.84,2.46,0.22,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bahrain,2020,EXPIMP,Food Products,23824.61,16.17,6.74,0.02,2.73,-4.52,2.08,12.8,12.8,30.0,13.33,0.0,86.67,0.0,12.8,12.8,16.16,16.16,0.0,12.8,12.8,30.0,13.33,0.0,86.67,0.0,12.8,12.8,16.16,16.16,0.0
