Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
United Kingdom,Afghanistan,2018,EXPIMP,Food Products,698.46,141.98,1.75,4.52,0.89,-21.85,-4.9,0,0,109,0,100,0,0,0,0,0,0,141.98,21.25,24.59,109,54.13,0,10.09,35.78,68.87,2.11,6.12,141.98,0
United Kingdom,Angola,2018,EXPIMP,Food Products,6558.35,2196.94,2.48,2.64,0.27,3.41,18.44,0,0,2,0,100,0,0,0,0,0,0,2196.94,42.78,42.78,2,0,0,0,100,57.26,28.31,0,2196.94,0
United Kingdom,Albania,2018,EXPIMP,Food Products,1493.18,1353.68,6.28,14.46,1.2,3.54,6.83,1.74,2.35,172,0,4.65,9.3,86.05,7.08,0,912.31,912.31,441.37,11.88,8.96,172,0,0,12.21,87.79,25.72,2.9,1353.68,1353.68,0
United Kingdom,United Arab Emirates,2018,EXPIMP,Food Products,418843.93,6764.06,4.15,0.3,2.13,1.93,5.8,19.08,9.68,563,32.33,7.64,12.97,47.07,141.84,0,2971.96,5399.51,1146.95,19.08,9.68,563,32.33,7.64,12.97,47.07,141.84,0,2971.96,5399.51,1146.95
United Kingdom,Argentina,2018,EXPIMP,Food Products,25176.8,707191.62,5.14,75.85,2.94,-1.45,1.49,16.7,0.99,437,16.48,4.12,12.59,66.82,128.09,0,201988.57,207978.15,499210.36,16.7,0.99,437,16.48,4.12,12.59,66.82,128.09,0,201988.57,207978.15,499210.36
United Kingdom,Armenia,2018,EXPIMP,Food Products,558.4,66.75,3.01,2.11,0.49,6.77,5.33,1.98,2.38,401,0,36.41,3.99,59.6,15.81,0,29.86,44.25,22.5,11.88,8.33,401,29.93,4.74,4.24,61.1,35.46,0,34.33,58.15,8.59
United Kingdom,Antigua and Barbuda,2018,EXPIMP,Food Products,4730.55,103.94,20.1,7.87,1.86,3.5,6.98,0,0,13,0,100,0,0,0,0,0,0,103.94,1.28,0.14,13,15.38,53.85,30.77,0,7.7,0,99.84,103.67,0.26
United Kingdom,Australia,2018,EXPIMP,Food Products,552127.25,362893.08,9.36,9.77,2.23,2.83,5.39,14.92,10.79,1038,33.04,6.65,12.04,48.27,128.09,0,342973.27,357849.52,2145.17,14.92,10.79,1038,33.04,6.65,12.04,48.27,128.09,0,342973.27,357849.52,2145.17
United Kingdom,Austria,2018,EXPIMP,Food Products,90293.46,266455.31,3.37,5.16,0.81,4.11,4.77,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Azerbaijan,2018,EXPIMP,Food Products,927,2.73,0.07,0,0.29,-0.64,20.15,3.48,3.48,164,0,0,9.76,90.24,7.08,2.9,2.73,2.73,0,3.48,3.48,164,0,0,9.76,90.24,7.08,2.9,2.73,2.73,0
United Kingdom,Belgium,2018,EXPIMP,Food Products,455828.97,2269271.42,2.4,6.53,0.73,1.96,7.24,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bonaire,2018,EXPIMP,Food Products,4105.75,23.51,45.86,6.16,,,,2.53,2.64,5,0,60,20,20,5.06,0,12.25,12.25,11.27,2.53,2.64,5,0,60,20,20,5.06,0,12.25,12.25,11.27
United Kingdom,Bangladesh,2018,EXPIMP,Food Products,6840.44,11954.2,1.72,0.32,,,,0.05,0,437,0.23,99.77,0,0,12.8,0,0,8.58,11882.42,17,19.14,437,58.58,2.06,10.07,29.29,69.15,0,7238.84,11888.35,2.65
United Kingdom,Bulgaria,2018,EXPIMP,Food Products,58373.66,42099.75,9.91,6.15,1.82,6.02,6.51,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bahrain,2018,EXPIMP,Food Products,29859.25,52.02,4.54,0.02,2.33,1.36,0.95,5.8,1.21,134,4.48,10.45,20.9,64.18,36.06,0,5.36,5.36,46.65,5.8,1.21,134,4.48,10.45,20.9,64.18,36.06,0,5.36,5.36,46.65
